Year,2018,2019,2020,2021,2022
Jan,9.512829153,9.434717143,9.689325036,10.03259452,10.72457536
Feb,9.672565945,9.627595675,9.742738988,10.83831838,10.78988188
Mar,9.506558401,9.835330596,9.918953505,10.62193265,9.697656841
Apr,9.538395168,10.21397628,10.53252913,10.45592977,9.373459326
May,10.07496784,10.24130589,9.923839281,10.16315977,
Jun,10.16403729,9.900190939,10.3560486,9.863445378,
Jul,10.15980276,10.04105235,10.65418478,9.635877735,
Aug,10.16740088,10.30719224,10.58459179,9.43011257,
Sep,10.17422096,10.30160669,10.5610438,10.17315659,
Oct,9.795020634,9.929341592,10.20781328,9.946536866,
Nov,9.949040492,10.2589824,10.74022829,10.66911173,
Dec,10.36885443,10.75666335,10.97652723,11.70001059,
